,0,1,2,3,4,5,6,7
[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],-0.01,-0.010177309,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],-0.0199,-0.029701,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],-0.025097089221399797,-0.025241899202292604,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],-0.15132345092685343,-0.14610894313326214,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],-0.01,-0.001281123131895518,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 0. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 1. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 0. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 1. 0. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
